0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:08 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:10 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:10:10 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:46 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:46 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:48 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:48 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:48 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:48 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:11:49 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 302
